game_pk,f5_away_runs,f5_home_runs,f5_outcome
778470,5,3,AWAY
778463,5,8,HOME
778443,1,2,HOME
778432,2,11,HOME
778426,3,1,AWAY
778404,0,0,TIE
778386,1,1,TIE
778377,0,0,TIE
778366,0,7,HOME
778349,2,0,AWAY
778338,0,0,TIE
778328,1,15,HOME
778319,6,2,AWAY
778298,1,0,AWAY
778264,0,3,HOME
778245,2,4,HOME
778238,1,4,HOME
778224,1,4,HOME
778207,4,2,AWAY
778196,4,2,AWAY
778179,4,4,TIE
778169,6,3,AWAY
778127,7,2,AWAY
778114,4,0,AWAY
778095,2,0,AWAY
778089,1,1,TIE
778073,1,1,TIE
778063,1,3,HOME
778037,6,0,AWAY
778018,3,2,AWAY
778006,0,3,HOME
777990,0,0,TIE
777977,4,1,AWAY
777965,1,1,TIE
777951,0,12,HOME
777940,4,3,AWAY
777927,2,2,TIE
777908,2,0,AWAY
777893,6,2,AWAY
777876,7,4,AWAY
777856,1,3,HOME
777851,0,2,HOME
777831,1,1,TIE
777809,5,3,AWAY
777790,0,0,TIE
777785,2,0,AWAY
777764,0,2,HOME
777747,0,0,TIE
777736,3,2,AWAY
777719,2,1,AWAY
777706,0,5,HOME
777692,3,1,AWAY
777670,6,5,AWAY
777667,3,1,AWAY
777649,8,7,AWAY
777627,1,8,HOME
777605,8,5,AWAY
777593,2,3,HOME
777425,5,5,TIE
777417,0,3,HOME
777395,4,4,TIE
